"Factor","Burnout","Horizontal Trust","Job Satisfaction","Quality of Leadership","Role Clarity","Sense of Community","Vertical Trust","Work Engagement"
"Department","Score. Anonymized","Score. Anonymized","Score. Anonymized","Score. Anonymized","Score. Anonymized","Score. Anonymized","Score. Anonymized","Score. Anonymized"
"Accounting","24.6492346938776","70.8971088435374","62.6147959183673","57.9878826530612","48.2780612244898","78.5714285714286","63.1058673469388","57.9506802721088"
"Commercial Banking","26.6938025210084","64.7321428571429","57.5525210084034","56.5651260504202","48.5206582633053","74.0021008403361","60.235031512605","59.0423669467787"
"Contact Center","32.4376144688645","64.2933455433455","55.6181318681319","53.8232600732601","45.4784798534799","73.9468864468865","57.8468406593407","53.1440781440781"
"Insurance","49.7366071428571","56.4434523809524","58.9964285714286","50.8660714285714","47.3601190476191","72.0535714285714","60.1607142857143","52.8482142857143"
"Marketing","25.6696428571429","67.1662414965986","57.4362244897959","55.0223214285714","47.2151360544218","75.9566326530612","58.8488520408163","58.8966836734694"
"Mortgage Development","25.6120391705069","68.5483870967742","60.0633640552995","57.5316820276498","48.4831029185868","79.0610599078341","61.193116359447","59.6726190476191"
"People and Culture","26.6581632653061","68.0590986394558","58.6862244897959","57.9400510204082","48.3205782312925","78.2525510204082","62.7391581632653","58.9817176870748"
"Product and Pricing","25.1826298701299","67.8571428571429","59.6266233766234","57.9951298701299","48.2954545454545","76.5422077922078","61.231737012987","58.5768398268398"
"Retail","57.9277073732719","63.3112519201229","57.116935483871","54.6190956221198","46.3133640552995","67.1082949308756","56.8548387096774","52.5489631336406"
