"Month/Year (Date)","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023"
"Department","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days","Inactive Employee/Days"
"Retail","1268","1024","990","1035","1025","1092","985","1168","918","1166","1158","254"
"Product and Pricing","493","381","349","359","350","372","351","413","333","422","402","87"
"People and Culture","572","476","455","485","466","530","482","575","451","555","546","121"
"Mortgage Development","1409","1216","1142","1155","1150","1255","1087","1299","1022","1297","1282","293"
"Marketing","491","349","340","355","350","384","350","411","334","419","401","85"
"Insurance","1941","1546","1419","1476","1469","1621","1476","1730","1376","1719","1671","367"
"Contact Center","1744","1421","1383","1471","1431","1507","1362","1632","1283","1626","1577","354"
"Commercial Banking","639","505","473","501","495","527","497","596","468","589","582","131"
"Accounting","321","251","235","233","246","280","251","304","240","297","290","62"
